STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry
08,041,006302,2,1500000US080410063022,80410063022.0,2,BG,425177,0,"POLYGON ((-104.757498 38.821065999999995, -104.757483 38.82137, -104.757472 38.825351999999995, -104.752512 38.825305, -104.748713 38.825298, -104.750463 38.82177, -104.753002 38.82054, -104.753537 38.817786, -104.757517 38.818279, -104.757498 38.821065999999995))"
08,069,001106,1,1500000US080690011061,80690011061.0,1,BG,497212,0,"POLYGON ((-105.096105 40.55271, -105.09026 40.55267, -105.090393 40.549168, -105.085989 40.549396, -105.085893 40.545491999999996, -105.088066 40.545514, -105.089449 40.546040999999995, -105.096119 40.546161999999995, -105.096105 40.55271))"
08,005,006000,2,1500000US080050060002,80050060002.0,2,BG,400983,0,"POLYGON ((-104.99936 39.649397, -104.987685 39.649442, -104.98770999999999 39.645806, -104.999437 39.645807, -104.99936 39.649397))"
08,027,970100,4,1500000US080279701004,80279701004.0,4,BG,868542032,1482899,"POLYGON ((-105.796897 38.265046999999996, -105.765552 38.265008, -105.76295 38.264891999999996, -105.656089 38.265079, -105.652032 38.26498, -105.640539 38.265191, -105.612555 38.264871, -105.591947 38.264905, -105.556234 38.264032, -105.547577 38.264294, -105.536963 38.263369, -105.50112 38.262778, -105.500142 38.262191, -105.499856 38.260580999999995, -105.499367 38.255435, -105.499853 38.250672, -105.500726 38.24765, -105.501187 38.244521, -105.501084 38.24199, -105.501891 38.239789, -105.502409 38.236214, -105.501988 38.227793, -105.50016 38.223473, -105.49943999999999 38.221029, -105.49919 38.215927, -105.499499 38.21039, -105.500477 38.204356, -105.500707 38.200829, -105.498777 38.195495, -105.498107 38.190841999999996, -105.498488 38.184373, -105.497938 38.181059, -105.500802 38.172652, -105.499806 38.164334, -105.500627 38.153341, -105.499976 38.149315, -105.50254699999999 38.150064, -105.513592 38.150219, -105.515298 38.088651, -105.454597 38.086922, -105.432637 38.086172, -105.413673 38.08557, -105.40199 38.081447, -105.400634 38.081334999999996, -105.389138 38.084046, -105.37898 38.083354, -105.375007 38.084393, -105.369652 38.086656999999995, -105.366675 38.0874, -105.361778 38.089366999999996, -105.357329 38.090396, -105.355452 38.091924999999996, -105.348398 38.091981, -105.345587 38.09402, -105.340627 38.095354, -105.338045 38.097391, -105.336763 38.097899, -105.336142 38.096827999999995, -105.339226 38.094325999999995, -105.339784 38.092279, -105.338947 38.089416, -105.334779 38.08742, -105.332771 38.084393999999996, -105.328283 38.08063, -105.328245 38.078292, -105.330048 38.076408, -105.32983 38.070842999999996, -105.326565 38.067105999999995, -105.325627 38.064375, -105.325886 38.063434, -105.324481 38.062506, -105.32480699999999 38.060275, -105.32308 38.055451999999995, -105.321366 38.053317, -105.321905 38.0516, -105.32351 38.050844999999995, -105.32105 38.047413, -105.319586 38.043426, -105.317486 38.041779, -105.316292 38.04208, -105.313474 38.039789, -105.312364 38.040077, -105.311781 38.037594, -105.31753 38.033837999999996, -105.320026 38.031583999999995, -105.322043 38.030575999999996, -105.322755 38.029393999999996, -105.325301 38.029193, -105.323407 38.028019, -105.325663 38.026196999999996, -105.328782 38.021892, -105.334181 38.01786, -105.337133 38.016715999999995, -105.338146 38.015721, -105.336292 38.015744, -105.333771 38.017452999999996, -105.328876 38.019234, -105.32691 38.019465, -105.323271 38.018988, -105.322063 38.019389, -105.313867 38.017905999999996, -105.31040899999999 38.016818, -105.304221 38.015921999999996, -105.303152 38.016273999999996, -105.299103 38.015465999999996, -105.295964 38.015971, -105.294553 38.014934, -105.292644 38.014593999999995, -105.29298 38.011995999999996, -105.291147 38.00736, -105.289329 38.005098, -105.291218 38.005424, -105.291788 38.002455, -105.292683 38.001162, -105.291607 38.001673, -105.289253 38.000701, -105.291069 37.999266, -105.290703 37.997471, -105.291784 37.998376, -105.294032 37.996939999999995, -105.294359 37.994907, -105.290471 37.99478, -105.286577 37.993142, -105.283238 37.990427, -105.28092 37.990722999999996, -105.276477 37.989843, -105.273172 37.990742999999995, -105.269868 37.990445, -105.269159 37.991147999999995, -105.262213 37.989844, -105.260413 37.990417, -105.25700499999999 37.988237, -105.253631 37.988009999999996, -105.250557 37.986937, -105.250696 37.985783999999995, -105.252426 37.985402, -105.251755 37.982589999999995, -105.249938 37.980263, -105.241167 37.9818, -105.236218 37.983641, -105.234044 37.982731, -105.232474 37.983562, -105.227175 37.983663, -105.224364 37.984052999999996, -105.224131 37.98534, -105.223029 37.984013999999995, -105.221294 37.983388999999995, -105.21656 37.982639, -105.211871 37.983157999999996, -105.210797 37.983131, -105.213153 37.981031, -105.214221 37.98026, -105.213109 37.977331, -105.216505 37.975378, -105.216358 37.97253, -105.215366 37.97052, -105.216627 37.969446999999995, -105.218095 37.969902999999995, -105.223136 37.968804, -105.224683 37.966674, -105.224646 37.965036, -105.226262 37.963898, -105.229418 37.965244999999996, -105.234426 37.964019, -105.235809 37.9628, -105.238864 37.962559999999996, -105.239933 37.960392999999996, -105.237598 37.957567999999995, -105.241799 37.953809, -105.244716 37.953728, -105.246694 37.95211, -105.249742 37.951521, -105.250018 37.950378, -105.255436 37.942916, -105.256764 37.942555, -105.257546 37.938131, -105.261549 37.937168, -105.263168 37.932458, -105.263942 37.932058999999995, -105.2638 37.92882, -105.261842 37.925637, -105.264815 37.921377, -105.26805 37.918304, -105.269908 37.913661, -105.271433 37.912814999999995, -105.27341799999999 37.910716, -105.273818 37.907677, -105.276233 37.905875, -105.276988 37.904103, -105.278924 37.903645, -105.280549 37.901215, -105.283224 37.899992999999995, -105.285076 37.899421, -105.286736 37.900194, -105.289367 37.902868999999995, -105.29104 37.903897, -105.290784 37.905367999999996, -105.292407 37.908625, -105.294811 37.90822, -105.297052 37.908944999999996, -105.298011 37.911263, -105.300254 37.912487999999996, -105.301115 37.914626999999996, -105.300655 37.915887, -105.301659 37.918119, -105.300388 37.921586, -105.300541 37.923085, -105.303607 37.926187999999996, -105.304366 37.928393, -105.306316 37.930966999999995, -105.306574 37.932292, -105.310281 37.93354, -105.311093 37.935945, -105.313772 37.936887999999996, -105.314507 37.938444, -105.315682 37.93881, -105.317081 37.938949, -105.324526 37.938434, -105.331702 37.935801, -105.33571 37.933468, -105.340075 37.929324, -105.342076 37.928412, -105.34720899999999 37.924759, -105.350814 37.924889, -105.356054 37.922854, -105.361139 37.922596999999996, -105.36541 37.92142, -105.367829 37.919784, -105.37500299999999 37.917114999999995, -105.377088 37.916101999999995, -105.378396 37.9138, -105.38165 37.912707, -105.383707 37.910622, -105.38504 37.910177999999995, -105.389628 37.906521999999995, -105.390305 37.905196, -105.39408 37.902918, -105.394792 37.901365999999996, -105.399585 37.898816, -105.403421 37.895782, -105.408697 37.894442, -105.411553 37.892531999999996, -105.413635 37.890527, -105.415486 37.890814999999996, -105.418689 37.889703, -105.421597 37.890651999999996, -105.424151 37.890173, -105.426855 37.891633999999996, -105.42779 37.89132, -105.429886 37.893837, -105.431972 37.895167, -105.437279 37.896011, -105.440272 37.897461, -105.45236 37.895680999999996, -105.459235 37.897169, -105.46697 37.895514999999996, -105.471057 37.895264, -105.473204 37.89597, -105.473307 37.896649, -105.476056 37.899389, -105.478875 37.900504999999995, -105.478351 37.903349, -105.482604 37.905004, -105.488145 37.909845, -105.491145 37.915225, -105.494109 37.917100000000005, -105.497197 37.920339, -105.502273 37.92295, -105.503116 37.923725, -105.504893 37.927212999999995, -105.505687 37.927890999999995, -105.507042 37.93102, -105.508364 37.936094, -105.511086 37.939130999999996, -105.514591 37.93993, -105.515729 37.942015, -105.523572 37.948037, -105.525534 37.94837, -105.527147 37.949531, -105.530378 37.953362999999996, -105.533315 37.955182, -105.537703 37.955036, -105.542737 37.95651, -105.546191 37.956047999999996, -105.550101 37.953871, -105.551826 37.950584, -105.556357 37.95098, -105.560311 37.951886, -105.562351 37.953744, -105.567192 37.957145, -105.570692 37.958265999999995, -105.573281 37.961582, -105.577676 37.965536, -105.581286 37.96618, -105.582616 37.965934, -105.583922 37.967196, -105.585054 37.970451, -105.583964 37.973009, -105.581522 37.975225, -105.581855 37.977972, -105.583191 37.979977999999996, -105.58591 37.979687, -105.58716 37.984508999999996, -105.588156 37.986689, -105.589899 37.987431, -105.592071 37.992148, -105.59366299999999 37.992775, -105.595739 37.995069, -105.595892 37.99637, -105.598413 37.997021, -105.600244 37.999998999999995, -105.600596 38.002274, -105.60390699999999 38.003738999999996, -105.604636 38.005013999999996, -105.604627 38.007771999999996, -105.604355 38.008745, -105.598876 38.011247, -105.597273 38.012664, -105.597112 38.013638, -105.598325 38.016338, -105.59795199999999 38.020019, -105.598845 38.022925, -105.600805 38.023745999999996, -105.603114 38.027144, -105.603527 38.031262999999996, -105.60938 38.032337999999996, -105.608854 38.034953, -105.613246 38.038084999999995, -105.614003 38.039536999999996, -105.614957 38.043662, -105.617996 38.047261, -105.617564 38.049772999999995, -105.617807 38.05326, -105.625563 38.055693, -105.628042 38.057725999999995, -105.625962 38.061161, -105.62692799999999 38.064592, -105.627206 38.06731, -105.63139699999999 38.068115, -105.634159 38.06944, -105.637276 38.072797, -105.636484 38.075584, -105.639369 38.078481, -105.64248 38.07993, -105.645284 38.082404, -105.646449 38.085037, -105.650105 38.086953, -105.653649 38.09088, -105.655856 38.092290999999996, -105.655094 38.093587, -105.655579 38.09549, -105.658826 38.097276, -105.66148 38.100912, -105.661466 38.103136, -105.662221 38.104348, -105.661485 38.106383, -105.662246 38.106845, -105.661229 38.109781999999996, -105.66134 38.111498, -105.658494 38.115185, -105.657663 38.117453999999995, -105.662654 38.119158, -105.66329 38.121545, -105.666441 38.125851999999995, -105.670215 38.128554, -105.669712 38.130911, -105.672052 38.134067, -105.673395 38.137395999999995, -105.672547 38.14022, -105.674322 38.141338, -105.67627 38.146173, -105.673066 38.147973, -105.670169 38.153096999999995, -105.671343 38.153852, -105.672841 38.156777999999996, -105.673042 38.159126, -105.677447 38.159526, -105.680782 38.160502, -105.68616 38.165306, -105.686838 38.166844999999995, -105.691332 38.166494, -105.693215 38.165738, -105.696112 38.166489, -105.699197 38.167972999999996, -105.700414 38.16918, -105.702195 38.174203, -105.705374 38.176438, -105.70808 38.180352, -105.70831 38.18186, -105.712924 38.183234999999996, -105.716053 38.185272999999995, -105.717338 38.188137, -105.718833 38.189834999999995, -105.721266 38.191555, -105.722049 38.193449, -105.727019 38.199705, -105.731511 38.200998, -105.732591 38.20068, -105.73333 38.201743, -105.73421 38.205057, -105.73581 38.207207, -105.736738 38.209561, -105.740698 38.210283, -105.744425 38.213701, -105.744806 38.214603, -105.748507 38.21414, -105.750563 38.214213, -105.753629 38.216674999999995, -105.756026 38.218126999999996, -105.756482 38.218975, -105.755886 38.22203, -105.756539 38.224959999999996, -105.758199 38.226569999999995, -105.759438 38.228566, -105.765605 38.230803, -105.767207 38.231815999999995, -105.768232 38.233762999999996, -105.77106 38.234836, -105.775454 38.235849, -105.780933 38.23914, -105.783928 38.239633, -105.787887 38.242056, -105.789303 38.243680999999995, -105.789761 38.24436, -105.789211 38.246278, -105.789406 38.252189, -105.79218 38.254815, -105.792744 38.256294, -105.795665 38.260138999999995, -105.796897 38.265046999999996))"
08,001,009411,2,1500000US080010094112,80010094112.0,2,BG,547462,0,"POLYGON ((-105.034476 39.876722, -105.031061 39.875915, -105.029108 39.876657, -105.02717200000001 39.878561, -105.025212 39.878333999999995, -105.025099 39.875195999999995, -105.025015 39.870815, -105.034501 39.870802, -105.034476 39.876722))"
08,031,003003,1,1500000US080310030031,80310030031.0,1,BG,686257,0,"POLYGON ((-104.973424 39.68756, -104.973424 39.689823, -104.968727 39.687515999999995, -104.968727 39.686803, -104.966378 39.685472999999995, -104.966377 39.683918999999996, -104.965208 39.683915999999996, -104.965232 39.678469, -104.973431 39.678512, -104.973424 39.68756))"
08,031,004201,4,1500000US080310042014,80310042014.0,4,BG,291644,0,"POLYGON ((-104.940653 39.743752, -104.932073 39.743727, -104.932087 39.740133, -104.940593 39.740128, -104.940653 39.743752))"
08,059,011300,2,1500000US080590113002,80590113002.0,2,BG,321951,0,"POLYGON ((-105.062626 39.751224, -105.05322699999999 39.751249, -105.053219 39.747616, -105.059082 39.747648, -105.060233 39.747644, -105.062606 39.747634, -105.062626 39.751224))"
08,041,006802,2,1500000US080410068022,80410068022.0,2,BG,802563,0,"POLYGON ((-104.76685 38.947282, -104.76618500000001 38.947427999999995, -104.753086 38.947320999999995, -104.75579 38.943934, -104.755928 38.940244, -104.756821 38.938030999999995, -104.75858099999999 38.937977, -104.761573 38.937214999999995, -104.762743 38.939065, -104.763327 38.943365, -104.76403 38.944441, -104.767836 38.946582, -104.76685 38.947282))"
08,031,002902,2,1500000US080310029022,80310029022.0,2,BG,475624,0,"POLYGON ((-104.976932 39.694762, -104.976921 39.703863, -104.973379 39.703860999999996, -104.973414 39.692969999999995, -104.973424 39.689823, -104.975787 39.691119, -104.979255 39.694143, -104.976932 39.694762))"
